"Artista","Titulo"," Anho"""
"Amy Winehouse","Frank","2003"
"Animal Collective","Merriweather post pavilion","2009"
"Atoms For Peace","Amok","2013"
"Axe Bahia","-","-"
"B.B. King","Blues on the bayou","1998"
"B.B. King","There is always one more time","1991"
"Badfinger","No dice","1970"
"Bat For Lashes","Two suns","2009"
"Beck","Modern guilt","2008"
"Belle And Sebastian","If you are feeling sinister","1996"
"Black Mountain","In the future","2008"
"Black Mountain","Wilderness heart","2010"
"Burning","Dulces dieciseis","2004"
"Caesars","Strawberry weed","2008"
"Cafe Del Mar","Chill out house vol II","-"
"Cat Power","You are free","2003"
"Cheap Trick","Cheap trick","1978"
"Cheap Trick","Dream police","1979"
"Cheap Trick","In color","1977"
"Cheap Trick","Live at budokan","1978"
"Cheap Trick","Special one","2003"
"Children Of The Nuggets","I","1998"
"Children Of The Nuggets","III","1998"
"Chris Von Sneidern","Big white lies","1994"
"Chrome Syrcus","Love cycle","1968"
"Cohete","Cohete","2001"
"Crazy Things","Wyld canada vol 1","-"
"Dani Wilde","Heal my blues","2008"
"Dark Was The Night","Cd1","2009"
"Dark Was The Night","Cd2","2009"
"Dave Davies","Death of a clown","1967"
"Debuenostontos","Antologia","2004"
"Deep Memphis Soul","-","-"
"Deerhunter","Microcastle","2008"
"Deerhunter","Monomania","2013"
"Delorean","Ayrton senna","2009"
"Dm3","Road to rome","1996"
"Doobie Bros","What were once vices are now habits","1974"
"Dwight Twilley","Jungle","1984"
"Dwight Twilley","Twilley","1979"
"Dwight Twilley","Wild dogs","1986"
"El Bicho","VII","2007"
"Elder Kindred","Kindred spirits","1971"
"Elvis Costello","This yearâ€™s model","1978"
"Erykah Badu","Call tyrone","1997"
"Erykah Badu","Worldwide underground","2003"
"Etienne De Crecy","Super discount","1996"
"Factotums","Singles uk","-"
"Fleet Foxes","Fleet foxes","2008"
"Foxygen","We are the 21st century ambassadors of peace and magic","2013"
"Girls In The Garage","Vol 10","2001"
"Girls In The Garage","Vol 8","2001"
"Graham Nash","Songs for beginners","1971"
"Guns Nâ€™ Roses","The spaghetti incident","1993"
"Ian Dury","Sex and drugs and rock and roll","1977"
"Interpol","Our love to admire","2007"
"Jacco Gardner","Cabinet of curiosities","2013"
"Jay Retard","Matador singles","2008"
"Jimi Hendrix","Bold as love","1967"
"Jimi Hendrix","El genio","-"
"Jimi Hendrix And B.B. King","The kings jam","1967"
"Johnny Adams","The tan nightingale","1985"
"Johnny Rivers","Realization","1968"
"Juke Joint Pimps","Boogie the house down","2008"
"July","July","1968"
"Junior Varsity","Bam bam bam","2000"
"Kiko Veneno","Echate un cantecito","1992"
"Kings Of Leon","Because of the times","2007"
"Klaus & Kinski","Tu hoguera esta ardiendo","2008"
"Kurt Vile","Working on a pretty daze","2013"
"La Buena Vida","Soidemersol","1997"
"La Dama Se Esconde","Antologia","1999"
"La Princesa Mononoke","BSO","1997"
"La Ultima Esperanza","Mi alma borracha de cerveza es mas triste que todos los arboles cortados en navidad","2007"
"Lagartija Nick","Hipnosis","1991"
"LCD Soundsystem","Lcd soundsystem","2005"
"Led Zeppelin","Another white summer","1969"
"Led Zeppelin","III","1970"
"Leroy","Electric","1988"
"Letâ€™S Active","Big plans for everybody","1986"
"Little Joy","Little joy","2008"
"Lolas","Something you oughta know","2006"
"Lord Astor E Sua Orquestra","E danca","1961"
"Los Campesinos","Hold on now, youngster","2008"
"Los Canarios","Grandes exitos","1974"
"Los Flechazos","Viviendo en la era poop","1988"
"Los Hermanos Dalton","Vitamina d","1966"
"Los Kahunas","El fantastico sonido surf and hot red de los kahunas","2005"
"Los Planetas","Singles 1","2005"
"Los Planetas","Singles 2","2005"
"Los Planetas","Singles 3","2005"
"Los Planetas","Una semana en el motor de un autobus","1998"
"Los Protones","Los protones","-"
"Mandingo","Savage rite","2012"
"Margie Joseph","Makes a new impression","1971"
"Material Issue","International pop overthrow","1991"
"Mission Of Burma","Vs","1982"
"Modest Mouse","Building something out of nothing","1999"
"Modest Mouse","The Moon and Antarctica","2000"
"Morodo","Cosas que contarte","2004"
"Mountain","Climbing","1970"
"Muchachito Bombo Infierno","Vamos que nos vamos","2005"
"My Bloody Valentine","Isnâ€™t anything","1988"
"My Morning Jacket","Okonokos cd 1","2006"
"My Morning Jacket","Okonokos cd 2","2006"
"Nada Surf","North 6th street","1999"
"Nashville Pussy","From hell to Texas","2009"
"Neu!","Neu!","1972"
"Neutral Milk Hotel","In the aeroplane over the sea","1998"
"No Age","Nouns","2008"
"No Age","Weirdo rippers","2007"
"No Doubt","The singles","2003"
"Nudozurdo","Nudozurdo","2010"
"Nudozurdo","Sintetica","2008"
"O Quarteto Antologia Da Bossa Nova","20 anos depois","1977"
"Oasis","The masterplan","1998"
"Omar Rodriguez Lopez Group","Los suenos de un higado","2009"
"Pacific Gas And Electric","Get it on","1968"
"Pal","Error de fabrica","2010"
"Patrullero Mancuso","Fantasia","1993"
"Patty Griffin","American kid","2013"
"Pavement","Crooked rain, crooked rain","1994"
"Pavement","Slanted and enchanted","1992"
"Pearl Jam","No code","1996"
"Pere Ubu","The modern dance","1977"
"Phoenix","Bankrupt!","2013"
"Portishead","Third","2008"
"Primal Scream","Riot city blues","2006"
"Quicksilver Messenger Service","Shady grove","1969"
"Radio Birdman","Radios appears","1977"
"Rain Parade","Crashing dream","1985"
"Raspberries","Fresh","1972"
"Rhye","Woman","2013"
"Ride","Nowhere","1990"
"Robyn Hitchcock","I often dream of trains","1984"
"Ron Records","We got a party","-"
"Santana","Caravanserai","1972"
"Savages","Silence yourself","2013"
"Screaming Trees","Dust","1996"
"Sharon Jones And The Dap Kings","Dap dipping with","[B[B[B2002"
"Sic Alps","U.S. Ez","2008"
"Soul Deep","Vol 1","-"
"Soul Deep","Vol 2","-"
"Soul Deep","Vol 5","-"
"Soul Shakers","Vol 5","-"
"Sparks","Kimono my house","1974"
"Steely Dan","Citizien","1993"
"Superchunk","I hate music","2013"
"Swamp Music","Vol 4","-"
"Sweet Water","Sweet water","1967"
"Syd Barrett","The madcap laughs","1970"
"Talk Talk","Spirit of eden","1988"
"Tarantula","Humildad trascendental","2009"
"The Black Lips","Good bad not evil","2007"
"The Fall","The wonderful and frightening world of the fall","1984"
"The Fall","This nationâ€™s saving grace","1985"
"The Flamin Groovies","Shake some action","1976"
"The Flamin Groovies","Teenage head","1971"
"The Flaming Lips","Home to roost","-"
"The Flaming Lips","The terror","2013"
"The Kinks","The Kinks kontroversy","1965"
"The Knack","Musikladen","-"
"The Lost Patrol Band","The lost patrol band","2005"
"The Mars Volta","Amputechture","2006"
"The Mars Volta","Live in Austin, Texas","-"
"The National","Trouble will find me","2013"
"The Neptunes","Goldfish hydrophobia","1988"
"The Nerves","One way ticket","2008"
"The Pains Of Being Pure At Heart","The pains of being pure at heart","2009"
"The Pyramidiacs","All you want"
"The Queens Of The Stone Age","Like clockwork"
"The Rolling Stones","The london years cd 1"
"The Seeds","A web of sound"
"The Sound Of Animals Fighting","The ocean and the sun"
"The Stoichkous","Vulgarian varieties"
"The Tormentos","Death drop"
"The Verve","Live at wigan"
"The Wave Pictures","Instant coffee baby"
"The White Stripes","White blood cells"
"Thundermother","No red woman"
"Tindersticks","Tindersticks"
"Toad","Toad"
"Tribalistas","Comprado"
"Unknown Mistery 60â€™S Groups","Vol 3"
"Unknown Orchestra","II"
"Velvet Crush","Free expression"
"Velvet Crush","Teenage symphonies to god"
"Vidalogia","Tremendo menda"
"Weezer","Weezer blue album"
"Weâ€™Re Scientist","With love and squalor"
"Wilco","Yankee hotel foxtrot"
"Wild Canada","V.a."
"Wild Canada","Vol 2"
"Yasmin Levy","Mano suave"
"Yellow Pills","Vol 4"
"Youth Lagoon","Wondrous bughouse"
